,21706894,21505186,21712798,20144769,21507122,21502642,21705472,21000002,21712227,21507151,21708799
21706894,-1,TB,TB,TB,TB,TB,TB,TB,TB,TB,TB
21505186,B,-1,TB,TB,TB,TB,TB,TB,TB,TB,TB
21712798,B,TB,-1,TB,TB,TB,TB,TB,TB,TB,TB
20144769,AR,TB,TB,-1,TB,TB,TB,TB,TB,TB,TB
21507122,B,TB,TB,TB,-1,TB,TB,TB,TB,TB,TB
21502642,B,TB,TB,TB,TB,-1,TB,TB,TB,TB,TB
21705472,TB,TB,TB,TB,TB,TB,-1,TB,TB,TB,TB
21000002,AB,TB,TB,TB,TB,TB,TB,-1,TB,TB,TB
21712227,AR,TB,TB,TB,TB,TB,TB,TB,-1,TB,TB
21507151,I,TB,TB,TB,TB,TB,TB,TB,TB,-1,TB
21708799,I,TB,TB,TB,TB,TB,TB,TB,TB,TB,-1
